idnew	domain	domain.length	pos.sites	pos.ratio	class
12.4	PF00931	857	2	0.23	N
125.1	PF01582	536	3	0.56	T
125.1	PF00931	761	2	0.26	N
12.5	W	1879	1	0.05	W
12.5	PF00931	854	11	1.29	N
126.1	W	292	3	1.03	W
126.1	PF00931	749	3	0.4	N
127.1	W	1446	1	0.07	W
127.1	PF00931	836	2	0.24	N
1.27	W	4587	49	1.07	W
1.27	PF01582	536	35	6.53	T
1.27	PF00931	773	34	4.4	N
12.7	W	2553	3	0.12	W
128.1	PF01582	533	1	0.19	T
129.1	PF05659	342	3	0.88	R
130.1	PF00931	614	1	0.16	N
131.1	W	301	3	1.0	W
131.1	PF01582	503	1	0.2	T
132.1	PF01582	527	1	0.19	T
133.1	W	2037	1	0.05	W
133.1	PF01582	527	2	0.38	T
133.1	PF00931	758	6	0.79	N
134.11	W	1515	2	0.13	W
134.11	PF00931	845	2	0.24	N
134.4	PF00931	834	6	0.72	N
134.5	W	1692	4	0.24	W
134.5	PF00931	845	4	0.47	N
134.8	PF00931	845	1	0.12	N
135.13	W	2368	1	0.04	W
135.13	PF00931	731	1	0.14	N
135.2	PF00931	731	1	0.14	N
13.5	PF01582	533	5	0.94	T
136.1	PF01582	515	1	0.19	T
137.1	PF01582	524	7	1.34	T
137.1	PF00931	761	12	1.58	N
138.1	PF01582	527	8	1.52	T
138.1	PF00931	782	9	1.15	N
139.1	W	397	3	0.76	W
139.1	PF00931	764	2	0.26	N
140.1	W	2649	2	0.08	W
140.1	PF01582	503	2	0.4	T
140.1	PF00931	749	5	0.67	N
141.1	W	2717	6	0.22	W
141.1	PF01582	398	4	1.01	T
14.1	W	1970	3	0.15	W
14.1	PF00931	878	1	0.11	N
142.1	W	2415	1	0.04	W
142.1	PF01582	527	8	1.52	T
142.1	PF00931	740	9	1.22	N
14.2	W	2461	4	0.16	W
143.1	W	2835	1	0.04	W
143.1	PF00931	761	1	0.13	N
144.1	PF01582	296	1	0.34	T
145.1	W	367	1	0.27	W
145.1	PF01582	537	12	2.23	T
146.1	W	494	3	0.61	W
146.1	PF01582	527	11	2.09	T
147.1	PF01582	485	2	0.41	T
149.1	PF01582	545	8	1.47	T
149.1	PF00931	794	7	0.88	N
150.1	W	223	1	0.45	W
150.1	PF01582	479	3	0.63	T
151.12	PF05659	395	1	0.25	R
151.1	PF05659	395	3	0.76	R
15.1	W	2856	10	0.35	W
15.1	PF00931	864	16	1.85	N
152.1	PF00931	839	1	0.12	N
15.2	W	2707	3	0.11	W
15.2	PF00931	911	31	3.4	N
153.1	W	2544	1	0.04	W
153.1	PF01582	512	3	0.59	T
153.1	PF00931	743	7	0.94	N
15.3	W	3124	24	0.77	W
15.3	PF00931	878	44	5.01	N
154.1	W	1118	2	0.18	W
154.1	PF01582	462	2	0.43	T
154.1	PF00931	668	1	0.15	N
15.4	W	2965	19	0.64	W
15.4	PF00931	893	77	8.62	N
155.1	W	3653	3	0.08	W
155.1	PF01582	533	1	0.19	T
155.1	PF00931	666	1	0.15	N
156.1	PF00931	845	1	0.12	N
15.6	W	2602	4	0.15	W
15.6	PF00931	878	5	0.57	N
157.1	PF01582	536	1	0.19	T
159.1	PF00931	758	6	0.79	N
160.1	W	4224	15	0.36	W
160.1	PF01582	512	24	4.69	T
160.1	PF00931	710	26	3.66	N
16.10	W	4456	1	0.02	W
16.10	PF01582	494	6	1.21	T
16.10	PF00931	755	1	0.13	N
16.11	PF01582	503	2	0.4	T
16.11	PF00931	746	2	0.27	N
161.1	PF01582	527	2	0.38	T
161.1	PF00931	806	1	0.12	N
16.2	W	3907	3	0.08	W
16.2	PF01582	500	13	2.6	T
16.2	PF00931	755	23	3.05	N
163.3	PF01582	497	3	0.6	T
163.3	PF00931	737	1	0.14	N
163.7	W	1480	1	0.07	W
163.7	PF01582	497	3	0.6	T
163.7	PF00931	737	1	0.14	N
164.1	W	2979	6	0.2	W
164.1	PF01582	916	2	0.22	T
164.1	PF00931	773	11	1.42	N
165.5	PF01582	536	3	0.56	T
165.5	PF00931	782	5	0.64	N
165.6	W	2187	1	0.05	W
165.6	PF01582	536	1	0.19	T
165.7	W	2808	7	0.25	W
165.7	PF01582	539	9	1.67	T
165.7	PF00931	767	19	2.48	N
16.6	W	4771	2	0.04	W
16.6	PF01582	494	4	0.81	T
16.6	PF00931	755	1	0.13	N
168.1	W	1680	2	0.12	W
168.1	PF00931	848	1	0.12	N
169.1	W	960	1	0.1	W
169.1	PF00635	634	2	0.32	X
170.1	W	2037	10	0.49	W
170.1	PF01582	533	16	3.0	T
170.1	PF00931	791	8	1.01	N
171.1	PF00931	752	1	0.13	N
172.1	W	2549	1	0.04	W
172.1	PF00931	812	5	0.62	N
173.1	PF01582	395	3	0.76	T
174.1	W	2589	12	0.46	W
174.1	PF00931	758	12	1.58	N
17.4	PF00931	833	2	0.24	N
175.1	PF01582	521	8	1.54	T
175.1	PF00931	785	2	0.25	N
176.2	W	2664	5	0.19	W
176.2	PF01582	539	9	1.67	T
176.2	PF00931	782	6	0.77	N
176.3	PF01582	539	1	0.19	T
176.3	PF00931	776	4	0.52	N
177.1	W	109	2	1.83	W
178.3	PF00931	746	13	1.74	N
178.4	PF01582	979	1	0.1	T
178.4	PF00931	725	2	0.28	N
178.8	W	3299	8	0.24	W
179.2	W	3490	38	1.09	W
179.2	PF01582	536	32	5.97	T
179.2	PF00931	746	1	0.13	N
179.3	PF01582	536	3	0.56	T
179.3	PF00931	746	7	0.94	N
179.5	W	3561	2	0.06	W
179.5	PF01582	536	2	0.37	T
179.5	PF00931	764	4	0.52	N
180.1	W	2157	1	0.05	W
180.1	PF01582	539	1	0.19	T
180.2	W	2421	4	0.17	W
180.2	PF01582	539	1	0.19	T
180.2	PF00931	776	2	0.26	N
181.3	W	3396	4	0.12	W
181.3	PF01582	536	4	0.75	T
181.3	PF00931	776	9	1.16	N
181.4	W	2460	1	0.04	W
181.4	PF01582	536	7	1.31	T
181.4	PF00931	773	4	0.52	N
18.1	W	2163	1	0.05	W
18.1	PF00931	794	3	0.38	N
183.1	W	1917	4	0.21	W
183.1	PF01582	533	2	0.38	T
183.1	PF00931	758	1	0.13	N
184.5	W	2736	2	0.07	W
184.5	PF00931	776	16	2.06	N
184.6	PF01582	509	6	1.18	T
184.6	PF00931	791	2	0.25	N
184.7	PF01582	476	4	0.84	T
184.7	PF00931	773	3	0.39	N
186.1	W	1906	1	0.05	W
187.1	W	1710	8	0.47	W
187.1	PF00931	845	52	6.15	N
189.1	PF01582	536	1	0.19	T
189.1	PF00931	746	5	0.67	N
190.1	W	2097	4	0.19	W
190.1	PF01582	530	8	1.51	T
190.1	PF00931	776	16	2.06	N
191.1	W	1844	10	0.54	W
191.1	Coil	107	5	4.67	C
191.1	PF00931	875	13	1.49	N
19.1	W	1262	2	0.16	W
19.1	PF01582	979	4	0.41	T
193.1	PF00931	776	4	0.52	N
197.1	W	2300	4	0.17	W
199.1	PF01582	497	2	0.4	T
201.1	W	2837	1	0.04	W
201.1	PF00931	770	2	0.26	N
20.1	PF01582	536	2	0.37	T
20.1	PF00931	785	2	0.25	N
202.1	PF01582	545	4	0.73	T
203.1	W	206	1	0.49	W
203.1	PF01582	509	2	0.39	T
204.1	W	2466	1	0.04	W
204.1	PF01582	359	1	0.28	T
204.1	PF00931	731	3	0.41	N
206.1	PF00931	698	11	1.58	N
207.1	W	1528	3	0.2	W
207.1	PF00931	263	4	1.52	N
208.1	W	598	1	0.17	W
209.1	Coil	107	1	0.93	C
210.1	Coil	86	1	1.16	C
211.1	W	2381	1	0.04	W
211.1	PF01582	933	14	1.5	T
21.1	W	4130	1	0.02	W
212.3	W	1115	1	0.09	W
212.3	PF01582	491	6	1.22	T
212.3	PF00931	707	1	0.14	N
212.4	PF01582	488	4	0.82	T
212.4	PF00931	761	1	0.13	N
213.1	W	491	1	0.2	W
213.1	PF01582	476	5	1.05	T
214.1	W	3258	1	0.03	W
214.1	PF00931	770	1	0.13	N
216.1	W	3239	4	0.12	W
216.1	PF01582	524	4	0.76	T
216.1	PF00931	767	4	0.52	N
216.3	W	3186	2	0.06	W
216.3	PF01582	524	12	2.29	T
216.3	PF00931	755	3	0.4	N
216.5	W	3847	3	0.08	W
216.5	PF01582	524	6	1.15	T
216.5	PF00931	701	3	0.43	N
217.1	W	3103	2	0.06	W
217.1	PF00931	518	2	0.39	N
218.1	PF01582	270	1	0.37	T
219.1	PF00931	746	3	0.4	N
221.2	W	3039	2	0.07	W
221.2	PF01582	536	11	2.05	T
221.2	PF00931	782	32	4.09	N
223.1	PF01582	515	1	0.19	T
2.24	PF05659	357	1	0.28	R
225.1	PF00931	785	5	0.64	N
226.1	W	1590	25	1.57	W
226.1	PF00931	315	27	8.57	N
228.1	W	788	2	0.25	W
228.1	Coil	107	1	0.93	C
229.1	PF01582	530	2	0.38	T
229.1	PF00931	758	2	0.26	N
230.1	W	2950	3	0.1	W
230.1	PF01582	1081	4	0.37	T
23.1	PF01582	469	6	1.28	T
23.1	PF00931	770	18	2.34	N
233.1	W	2432	5	0.21	W
233.1	PF01582	392	2	0.51	T
234.1	W	1604	1	0.06	W
234.1	PF01582	221	1	0.45	T
235.1	PF01582	401	2	0.5	T
236.1	W	1800	3	0.17	W
236.1	PF01582	530	3	0.57	T
236.1	PF00931	714	15	2.1	N
237.1	W	639	3	0.47	W
238.2	PF00931	735	5	0.68	N
238.3	W	2870	1	0.03	W
238.3	PF00931	773	15	1.94	N
239.1	PF01582	536	1	0.19	T
239.1	PF00931	761	1	0.13	N
240.1	PF00931	764	2	0.26	N
241.1	W	3096	1	0.03	W
241.1	PF01582	503	9	1.79	T
241.1	PF00931	764	3	0.39	N
24.1	PF01582	916	6	0.66	T
24.1	PF00931	773	6	0.78	N
242.1	PF00931	737	1	0.14	N
244.1	W	2168	15	0.69	W
244.1	Coil	107	1	0.93	C
244.1	PF00931	374	20	5.35	N
245.1	PF01582	626	3	0.48	T
245.1	PF00931	773	3	0.39	N
246.1	W	656	1	0.15	W
248.1	W	328	5	1.52	W
249.1	W	1680	1	0.06	W
249.1	PF00931	848	1	0.12	N
251.1	PF00931	749	3	0.4	N
25.1	W	1443	1	0.07	W
25.1	Coil	65	2	3.08	C
25.1	PF00931	839	1	0.12	N
252.1	W	1472	7	0.48	W
252.1	PF00931	857	10	1.17	N
254.1	PF00931	611	1	0.16	N
255.1	W	1947	2	0.1	W
255.1	PF00931	704	3	0.43	N
257.1	PF00931	746	1	0.13	N
258.1	PF01582	506	2	0.4	T
259.1	PF01582	530	1	0.19	T
26.1	PF01582	479	1	0.21	T
26.1	PF00931	812	3	0.37	N
262.1	PF01582	419	3	0.72	T
263.1	W	1921	2	0.1	W
263.1	PF00931	872	6	0.69	N
267.1	PF01582	269	1	0.37	T
268.1	W	1568	5	0.32	W
268.1	Coil	107	2	1.87	C
268.1	PF00931	842	10	1.19	N
269.1	W	1581	1	0.06	W
269.1	Coil	107	1	0.93	C
270.1	W	1156	1	0.09	W
271.1	W	1702	2	0.12	W
271.1	PF00931	851	20	2.35	N
27.1	PF00931	845	3	0.36	N
272.1	W	277	3	1.08	W
273.1	W	1559	6	0.38	W
273.1	PF00931	851	26	3.06	N
274.1	W	502	1	0.2	W
274.1	PF00931	155	1	0.65	N
276.1	PF01582	539	1	0.19	T
276.1	PF00931	773	4	0.52	N
278.2	PF00931	782	1	0.13	N
279.1	W	1896	4	0.21	W
279.1	PF00931	851	26	3.06	N
280.1	W	1887	2	0.11	W
280.1	PF00931	766	9	1.17	N
281.1	W	2903	1	0.03	W
281.1	PF01582	536	1	0.19	T
281.1	PF00931	692	3	0.43	N
28.1	W	1718	1	0.06	W
28.1	PF01582	536	1	0.19	T
282.1	W	1806	10	0.55	W
282.1	Coil	107	2	1.87	C
282.1	PF00931	851	28	3.29	N
285.1	W	181	1	0.55	W
286.1	PF01582	503	3	0.6	T
287.1	PF01582	530	1	0.19	T
289.1	W	1288	1	0.08	W
289.1	PF00931	911	3	0.33	N
290.1	PF00931	851	12	1.41	N
291.1	W	827	4	0.48	W
291.1	PF00931	851	2	0.24	N
29.1	W	1340	3	0.22	W
29.1	PF01582	802	2	0.25	T
293.1	PF00931	752	1	0.13	N
296.1	PF00931	746	1	0.13	N
297.1	PF01582	488	1	0.2	T
297.1	PF00931	767	1	0.13	N
298.1	W	1710	1	0.06	W
298.1	PF00931	851	9	1.06	N
299.1	W	1894	3	0.16	W
299.1	PF01582	428	2	0.47	T
2.9	PF05659	360	2	0.56	R
30.1	W	2295	1	0.04	W
30.1	PF01582	530	1	0.19	T
302.1	W	1528	2	0.13	W
302.1	PF00931	722	2	0.28	N
303.1	W	1845	1	0.05	W
303.1	PF00931	851	11	1.29	N
304.1	W	746	1	0.13	W
306.1	W	3354	2	0.06	W
306.1	PF01582	146	2	1.37	T
310.1	PF01582	536	2	0.37	T
3.10	W	1689	8	0.47	W
3.10	Coil	107	1	0.93	C
3.10	PF00931	851	22	2.59	N
31.1	W	1189	3	0.25	W
3.12	W	1787	1	0.06	W
3.12	PF00931	851	15	1.76	N
3.13	W	1986	7	0.35	W
3.13	PF00931	851	42	4.94	N
3.14	W	1854	2	0.11	W
3.14	PF00931	851	20	2.35	N
3.17	W	1896	4	0.21	W
3.17	PF00931	851	28	3.29	N
3.18	W	1908	12	0.63	W
3.18	Coil	107	2	1.87	C
3.18	PF00931	851	48	5.64	N
3.19	W	1953	6	0.31	W
3.19	PF00931	851	18	2.12	N
320.1	W	2872	4	0.14	W
320.1	PF01582	486	1	0.21	T
321.1	W	1598	2	0.13	W
321.1	PF00931	416	4	0.96	N
32.1	PF05659	365	1	0.27	R
3.22	W	1462	1	0.07	W
3.22	PF00931	851	9	1.06	N
325.1	W	1663	8	0.48	W
325.1	PF00931	564	15	2.66	N
326.1	W	691	5	0.72	W
3.2	W	1432	2	0.14	W
3.2	PF00931	851	12	1.41	N
33.1	W	2041	4	0.2	W
33.1	PF00931	857	1	0.12	N
3.3	W	2265	10	0.44	W
3.3	Coil	107	2	1.87	C
3.3	PF00931	851	55	6.46	N
34.1	PF01582	506	2	0.4	T
35.1	W	1319	1	0.08	W
35.1	PF05659	356	2	0.56	R
36.1	PF01582	515	1	0.19	T
36.1	PF00931	758	2	0.26	N
38.1	W	140	1	0.71	W
38.1	PF01582	536	2	0.37	T
3.8	W	2583	8	0.31	W
3.8	Coil	107	4	3.74	C
3.8	PF00931	851	29	3.41	N
39.1	W	4143	39	0.94	W
39.1	PF01582	503	36	7.16	T
39.1	PF00931	776	44	5.67	N
3.9	W	2166	15	0.69	W
3.9	PF00931	851	24	2.82	N
40.1	W	1940	2	0.1	W
40.1	PF01582	614	6	0.98	T
40.1	PF00931	767	9	1.17	N
4.10	PF00931	707	9	1.27	N
4.11	W	3694	34	0.92	W
4.11	PF01582	500	13	2.6	T
4.11	PF00931	704	57	8.1	N
41.1	W	5377	2	0.04	W
41.1	PF02671	137	1	0.73	X
4.13	W	4611	36	0.78	W
4.13	PF01582	524	28	5.34	T
4.13	PF00931	704	32	4.55	N
4.13	Coil	65	5	7.69	C
4.14	W	2926	3	0.1	W
4.14	PF01582	491	1	0.2	T
4.14	PF00931	704	10	1.42	N
4.15	W	2976	2	0.07	W
4.15	PF01582	491	1	0.2	T
4.15	PF00931	716	14	1.96	N
4.16	W	3379	16	0.47	W
4.16	PF01582	488	14	2.87	T
4.16	PF00931	704	42	5.97	N
42.1	PF01582	506	1	0.2	T
4.2	W	3053	1	0.03	W
4.2	PF01582	497	1	0.2	T
4.2	PF00931	755	13	1.72	N
43.1	W	3168	2	0.06	W
4.3	W	3352	15	0.45	W
4.3	PF01582	341	13	3.81	T
4.3	PF00931	764	15	1.96	N
44.1	W	1917	2	0.1	W
44.1	PF01582	527	5	0.95	T
44.1	PF00931	770	11	1.43	N
4.4	PF01582	536	3	0.56	T
4.4	PF00931	755	4	0.53	N
45.2	PF01582	392	1	0.26	T
46.1	PF01582	521	3	0.58	T
4.6	W	3490	5	0.14	W
4.6	PF01582	491	7	1.43	T
4.6	PF00931	773	15	1.94	N
47.1	W	371	1	0.27	W
48.1	W	984	7	0.71	W
48.1	PF01582	461	8	1.74	T
48.1	PF00931	731	3	0.41	N
4.8	W	2918	10	0.34	W
4.8	PF01582	500	20	4.0	T
4.8	PF00931	749	42	5.61	N
49.1	W	2731	1	0.04	W
49.1	PF00931	836	3	0.36	N
4.9	W	2971	3	0.1	W
4.9	PF01582	494	2	0.4	T
4.9	PF00931	776	11	1.42	N
50.1	PF01582	521	8	1.54	T
50.1	PF00931	675	16	2.37	N
5.10	W	2018	4	0.2	W
5.10	PF01582	579	1	0.17	T
5.10	PF00931	773	15	1.94	N
51.1	W	328	1	0.3	W
51.1	PF01582	494	1	0.2	T
5.12	W	2406	3	0.12	W
5.12	PF01582	581	9	1.55	T
5.12	PF00931	782	33	4.22	N
5.1	W	1992	6	0.3	W
5.1	PF01582	626	6	0.96	T
5.1	PF00931	773	1	0.13	N
52.1	PF01582	997	3	0.3	T
5.2	PF00931	779	2	0.26	N
53.1	W	1901	3	0.16	W
53.1	PF00931	788	77	9.77	N
54.1	W	3325	9	0.27	W
54.1	PF00931	869	8	0.92	N
5.4	PF01582	539	6	1.11	T
5.4	PF00931	773	6	0.78	N
55.1	W	1523	4	0.26	W
55.1	PF05659	326	1	0.31	R
5.5	PF00931	776	2	0.26	N
56.1	W	1535	3	0.2	W
56.1	Coil	158	3	1.9	C
57.1	W	3300	3	0.09	W
5.7	W	2436	2	0.08	W
5.7	PF00931	773	3	0.39	N
5.8	PF01582	581	2	0.34	T
5.8	PF00931	773	2	0.26	N
59.1	W	1523	2	0.13	W
59.1	PF00931	761	1	0.13	N
60.1	W	1920	6	0.31	W
60.1	PF01582	533	5	0.94	T
60.1	PF00931	764	4	0.52	N
6.10	W	1899	11	0.58	W
6.10	PF00931	766	8	1.04	N
6.11	W	1766	4	0.23	W
6.11	PF00931	866	13	1.5	N
61.1	W	1742	2	0.11	W
61.1	Coil	149	1	0.67	C
61.1	PF00931	857	1	0.12	N
6.12	W	1790	2	0.11	W
6.12	PF00931	866	2	0.23	N
6.13	W	1760	3	0.17	W
6.13	PF00931	866	4	0.46	N
6.14	W	1763	2	0.11	W
6.14	PF00931	866	10	1.15	N
6.17	PF00931	857	5	0.58	N
62.1	W	445	3	0.67	W
62.1	PF01582	380	1	0.26	T
6.2	W	1799	8	0.44	W
6.2	PF00931	857	8	0.93	N
6.3	W	1760	3	0.17	W
6.3	PF00931	857	5	0.58	N
64.1	W	2178	5	0.23	W
64.1	PF01582	536	15	2.8	T
64.1	PF00931	785	9	1.15	N
6.4	W	1778	7	0.39	W
6.4	Coil	107	1	0.93	C
6.4	PF00931	857	33	3.85	N
65.1	W	1381	25	1.81	W
65.1	PF00931	1057	13	1.23	N
66.1	W	1743	1	0.06	W
66.1	PF00931	848	1	0.12	N
6.6	W	1862	17	0.91	W
6.6	Coil	107	1	0.93	C
6.6	PF00931	857	31	3.62	N
6.7	W	1823	6	0.33	W
6.7	Coil	86	2	2.33	C
6.7	PF00931	857	12	1.4	N
68.1	W	2148	3	0.14	W
68.1	PF00931	845	1	0.12	N
69.1	W	2127	2	0.09	W
69.1	PF01582	530	10	1.89	T
69.1	PF00931	797	2	0.25	N
70.1	W	2417	2	0.08	W
70.1	PF01582	527	5	0.95	T
70.1	PF00931	647	8	1.24	N
71.1	PF01582	533	1	0.19	T
7.12	PF00931	845	7	0.83	N
7.16	W	1542	1	0.06	W
7.16	Coil	107	1	0.93	C
7.17	W	1539	3	0.19	W
7.17	PF00931	845	1	0.12	N
7.1	W	1574	2	0.13	W
7.1	PF00931	845	23	2.72	N
7.20	PF00931	842	2	0.24	N
72.1	W	1726	2	0.12	W
72.1	PF00931	815	8	0.98	N
7.2	W	1527	1	0.07	W
7.2	PF00931	845	2	0.24	N
73.1	W	2559	21	0.82	W
73.1	PF01582	509	48	9.43	T
73.1	PF00931	779	57	7.32	N
7.3	W	1605	6	0.37	W
7.3	Coil	107	3	2.8	C
7.3	PF00931	845	29	3.43	N
74.1	W	1203	7	0.58	W
74.1	PF01582	536	7	1.31	T
74.1	PF00931	785	1	0.13	N
7.4	W	1593	8	0.5	W
7.4	PF00931	842	7	0.83	N
75.1	PF00931	857	1	0.12	N
7.5	W	1752	2	0.11	W
7.5	Coil	107	1	0.93	C
7.5	PF00931	842	5	0.59	N
76.1	PF00931	569	1	0.18	N
7.6	W	1620	4	0.25	W
7.6	PF00931	857	24	2.8	N
77.1	PF01582	527	5	0.95	T
77.1	PF00931	734	7	0.95	N
7.7	W	1785	1	0.06	W
7.7	PF00931	857	16	1.87	N
78.1	W	2499	1	0.04	W
78.1	PF01582	503	2	0.4	T
78.1	PF00931	794	2	0.25	N
7.8	W	1626	4	0.25	W
79.1	PF01582	530	5	0.94	T
79.1	PF00931	767	9	1.17	N
80.1	PF01582	509	1	0.2	T
80.1	PF00931	788	9	1.14	N
81.1	PF01582	506	1	0.2	T
81.1	PF00931	752	1	0.13	N
82.1	W	2322	5	0.22	W
82.1	PF01582	515	7	1.36	T
82.1	PF00931	749	5	0.67	N
8.2	W	1446	3	0.21	W
8.2	PF00931	845	15	1.78	N
83.1	W	1533	4	0.26	W
83.1	Coil	107	2	1.87	C
83.1	PF00931	848	1	0.12	N
8.3	W	1422	6	0.42	W
8.3	PF00931	842	6	0.71	N
8.4	W	1458	9	0.62	W
8.4	Coil	86	2	2.33	C
8.4	PF00931	842	19	2.26	N
85.1	PF01582	509	4	0.79	T
85.1	PF00931	758	2	0.26	N
8.5	W	1527	11	0.72	W
8.5	Coil	86	3	3.49	C
8.5	PF00931	842	20	2.38	N
87.1	PF01582	497	3	0.6	T
88.1	W	2493	1	0.04	W
88.1	PF01582	494	2	0.4	T
88.1	PF00931	767	2	0.26	N
89.1	W	2214	1	0.05	W
89.1	PF00931	767	5	0.65	N
90.1	PF01582	518	27	5.21	T
90.1	PF00931	791	25	3.16	N
91.1	W	2664	1	0.04	W
91.1	PF01582	500	1	0.2	T
91.1	PF00931	815	1	0.12	N
9.1	W	1717	3	0.17	W
9.1	PF00931	839	8	0.95	N
92.1	W	2469	2	0.08	W
92.1	PF01582	530	2	0.38	T
92.1	PF00931	791	2	0.25	N
9.2	W	1628	1	0.06	W
9.2	Coil	107	1	0.93	C
9.2	PF00931	836	4	0.48	N
9.3	W	1774	1	0.06	W
9.3	PF00931	851	3	0.35	N
94.1	W	3195	4	0.13	W
94.1	PF00931	716	5	0.7	N
95.1	PF01582	515	6	1.17	T
96.1	PF01582	536	6	1.12	T
96.1	PF00931	752	21	2.79	N
97.1	W	1440	16	1.11	W
97.1	Coil	107	3	2.8	C
97.1	PF00931	842	12	1.43	N
98.1	W	1141	2	0.18	W
99.1	W	2685	7	0.26	W
99.1	PF01582	536	11	2.05	T
99.1	PF00931	761	11	1.45	N
