Transcript_ID	Gene_ID	Architecture	Collapsed_Arch	Subclass	Combined_Subclasses	Arch_Type	OG_orig_ID	OG_orig_Size	OG	OG_Size	Fusion_Flag	Merged_Flag	Pair_Flag	PutPair_Flag	Truncated_Flag	Pseudogene_Flag	NoEvidence_Flag	CorBound_Flag	CorTrans_Flag	Misassembly_Flag	Delete_Flag	Mod_Flag	Note_Flag	Accession_Name	Origin	Seed_Collection	Sequencing_Facility	Population	Albugo_Phenotype	Assembly_Quality	Expression	Relict_Flag	TE_In_Exons	TE_In_Introns	TEs_2kb_Downstream	TEs_2kb_Upstream	Outlier
10015|T042-R1	10015|G042	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	155	46	155.1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T043-R1	10015|G043	TIR,LRR	TIR,LRR	TL	T(L)	canonical	233	17	233.1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	76	0	0	0	0	0	0
10015|T047-R1	10015|G047	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	30	66	30.1	61	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	98	0	0	0	0	0	0
10015|T048-R1	10015|G048	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	46	65	46.1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	71	0	0	0	0	0	0
10015|T049-R1	10015|G049	TIR,NB	TIR,NB	TN	TN	canonical	172	39	172.1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T052-R1	10015|G052	NB,LRR,TIR	NB,LRR,TIR	TNL	TNL	canonical	106	60	106.1	55	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	4	0	0	0	1	1	0
10015|T053-R1	10015|G053	TIR	TIR	T	T(L)	canonical	144	50	144.1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	1	0	0	0	1	1	0
10015|T054-R1	10015|G054	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	82	62	82.1	55	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	4	0	0	0	1	1	0
10015|T055.1-R1	10015|G055.1	TIR,NB	TIR,NB	TN	TN	canonical	34	66	34.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	29	0	0	0	0	0	0
10015|T055.2-R1	10015|G055.2	TIR,NB	TIR,NB	TN	TN	canonical	122	57	122.1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	96	0	0	0	1	0	0
10015|T056-R1	10015|G056	TIR,NB	TIR,NB	TN	TN	canonical	157	44	157.1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	62	0	0	0	1	1	0
10015|T057-R1	10015|G057	TIR	TIR	T	T(L)	canonical	202	25	202.1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	27	0	0	1	1	0	0
10015|T058-R1	10015|G058	TIR	TIR	T	T(L)	canonical	167	40	167.1	37	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	78	0	0	0	1	1	0
10015|T059-R1	10015|G059	TIR,NB	TIR,NB	TN	TN	canonical	86	62	86.1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	85	0	0	0	0	1	0
10015|T060-R1	10015|G060	TIR,NB	TIR,NB	TN	TN	canonical	38	66	38.1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	3	0	0	0	0	0	0
10015|T062-R1	10015|G062	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	142	50	142.1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	8	0	0	0	1	1	0
10015|T063-R1	10015|G063	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	23	67	23.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	34	0	0	0	1	0	0
10015|T065-R1	10015|G065	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	183	34	183.1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	39	0	0	0	1	0	0
10015|T066-R1	10015|G066	TIR,NB,TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	57	64	57.1	59	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	28	0	1	0	1	1	0
10015|T067-R1	10015|G067	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	42	66	42.1	62	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	89	0	0	0	0	1	0
10015|T068-R1	10015|G068	TIR	TIR	T	T(L)	canonical	162	42	763	40	0	0	0	0	1	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	46	0	0	0	0	0	0
10015|T069-R1	10015|G069	TIR,NB	TIR,NB	TN	TN	canonical	147	50	147.1	44	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	1	0	0
10015|T070-R1	10015|G070	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	148	50	148.1	44	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T071-R1	10015|G071	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	88	62	88.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	1	0	0	1	0	0	0
10015|T074-R1	10015|G074	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	79	62	79.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	99	0	0	0	1	0	0
10015|T075-R1	10015|G075	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	107	60	107.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T076-R1	10015|G076	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	71	63	71.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	12	0	0	0	0	0	0
10015|T078-R1	10015|G078	TIR,NB,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	96	61	96.1	54	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	98	0	0	0	0	0	0
10015|T079-R1	10015|G079	PF02671,PF03106,PF03106,TIR,NB,LRR,PF00069	PF02671,PF03106,TIR,NB,LRR,PF00069	TNLX	T(N,L)X	noncanonical	41	66	41.1	59	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	90	0	0	0	0	0	0
10015|T083-R1	10015|G083	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	84	62	84.1	58	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T084-R1	10015|G084	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	78	62	78.1	57	0	0	1	0	0	0	0	1	0	0	0	0	1	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T087-R1	10015|G087	TIR,NB,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	70	63	70.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	77	0	0	0	0	1	0
10015|T089-R1	10015|G089	TIR,NB	TIR,NB	TN	TN	canonical	67	63	67.1	60	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	1	0	0	0	0	0	0
10015|T090-R1	10015|G090	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	81	62	81.1	56	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	9	0	0	0	1	0	0
10015|T092-R1	10015|G092	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	120	58	120.1	53	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	88	0	0	0	0	1	0
10015|T093-R1	10015|G093	TIR,Coil	TIR,Coil	T	T(L)	canonical	136	53	136.1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	1	0	0
10015|T094-R1	10015|G094	TIR	TIR	T	T(L)	canonical	131	54	131.1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	8	0	0	0	0	1	0
10015|T095-R1	10015|G095	TIR	TIR	T	T(L)	canonical	132	54	132.1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	5	0	0	0	0	1	0
10015|T097-R1	10015|G097	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	1	154	1.13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	90	0	0	0	1	0	0
10015|T098-R1	10015|G098	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	165	41	165.5	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	77	0	0	0	0	0	0
10015|T101-R1	10015|G101	Coil,NB	Coil,NB	CN	CN	canonical	300	5	1658	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	8	0	0	0	1	1	1
10015|T104-R1	10015|G104	Coil,NB	Coil,NB	CN	CN	canonical	115	58	115.1	54	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	3	0	0	0	0	0	0
10015|T108-R1	10015|G108	Coil,NB	Coil,NB	CN	CN	canonical	9	97	9.2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	45	0	0	0	0	1	0
10015|T109-R1	10015|G109	NB	NB	N	N	canonical	9	97	9.3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T111-R1	10015|G111	NB	NB	N	N	canonical	72	63	72.1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	1	0
10015|T127-R1	10015|G127	TIR,TIR,NB,NB	TIR,NB	TN	TN	canonical	215	22	215.1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	51	0	0	0	0	0	0
10015|T128-R1	10015|G128	TIR,TIR,NB	TIR,NB	TN	TN	canonical	24	67	24.1	63	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	83	0	0	0	0	1	0
10015|T132-R1	10015|G132	TIR,NB,TIR,NB,LRR,TIR	TIR,NB,LRR	TNL	TNL	canonical	21	69	21.1	62	0	0	1	0	0	0	0	0	0	0	0	0	1	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	33	0	0	0	0	0	0
10015|T133-R1	10015|G133	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	26	67	26.1	63	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	92	0	0	0	0	0	0
10015|T135-R1	10015|G135	TIR,NB	TIR,NB	TN	TN	canonical	162	42	763	40	0	0	0	0	1	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	40	0	0	0	0	1	0
10015|T136-R1	10015|G136	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	112	59	112.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	85	0	0	1	0	1	0
10015|T139-R1	10015|G139	NB	NB	N	N	canonical	130	55	130.1	52	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	1	0	0
10015|T140-R1	10015|G140	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	91	61	91.1	58	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	6	0	0	0	0	0	0
10015|T143-R1	10015|G143	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	90	61	90.1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	86	0	0	0	0	0	0
10015|T144-R1	10015|G144	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	105	60	105.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	97	0	0	0	0	0	0
10015|T147-R1	10015|G147	TIR,NB	TIR,NB	TN	TN	canonical	245	13	245.1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	91	0	0	0	0	1	0
10015|T148-R1	10015|G148	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	5	125	5.6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	94	0	0	0	1	0	0
10015|T150-R1	10015|G150	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	18	70	18.1	58	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T151.1-R1	10015|G151.1	NB,LRR,PF03106	NB,LRR,PF03106	NLX	N(L)X	noncanonical	43	65	43.1	52	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T153-R1	10015|G153	TIR,TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	140	51	140.1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	49	0	0	0	1	0	0
10015|T155-R1	10015|G155	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	137	53	137.1	50	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	76	0	0	1	0	0	0
10015|T159-R1	10015|G159	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	102	60	102.8	22	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	42	0	0	0	0	0	0
10015|T160-R1	10015|G160	TIR,TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	211	23	211.1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	47	0	0	0	0	0	0
10015|T164.1-R1	10015|G164.1	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	143	50	143.1	45	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	94	0	0	0	0	0	0
10015|T164.2-R1	10015|G164.2	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	133	54	133.1	49	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T168.2-R1	10015|G168.2	NB	NB	N	N	canonical	76	63	76.1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	91	0	0	0	0	0	0
10015|T169-R1	10015|G169	NB	NB	N	N	canonical	54	64	54.1	60	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	62	0	0	0	0	0	0
10015|T174-R1	10015|G174	TIR,LRR	TIR,LRR	TL	T(L)	canonical	141	51	141.1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	13	0	0	0	0	0	0
10015|T177-R1	10015|G177	TIR	TIR	T	T(L)	canonical	87	62	87.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T180-R1	10015|G180	Coil,NB,LRR	Coil,NB,LRR	CNL	CNL	canonical	168	39	168.1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	59	0	0	0	0	0	0
10015|T181-R1	10015|G181	Coil,NB,LRR	Coil,NB,LRR	CNL	CNL	canonical	109	59	109.1	54	0	0	0	0	0	0	0	0	0	0	0	0	1	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	31	0	0	0	0	0	0
10015|T182-R1	10015|G182	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	171	39	171.1	36	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	5	0	0	0	0	1	0
10015|T183-R1	10015|G183	TIR,NB	TIR,NB	TN	TN	canonical	13	83	13.1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	4	0	0	0	1	1	0
10015|T185.1-R1	10015|G185.1	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	138	52	138.1	47	0	0	0	0	0	0	0	0	0	0	0	0	1	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	59	0	0	0	0	0	0
10015|T185.2-R1	10015|G185.2	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	149	49	149.1	48	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	1	0	0	0	0	0	0
10015|T189-R1	10015|G189	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	99	61	99.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	12	0	0	0	0	0	0
10015|T190-R1	10015|G190	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	74	63	74.1	56	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T192-R1	10015|G192	NB,LRR	NB,LRR	NL	NL	canonical	75	63	75.1	59	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	98	0	0	0	0	0	0
10015|T194-R1	10015|G194	NB	NB	N	N	canonical	22	67	22.1	60	0	0	0	1	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	46	0	0	0	0	0	0
10015|T197.1-R1	10015|G197.1	Coil,NB,LRR	Coil,NB,LRR	CNL	CNL	canonical	68	63	68.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	76	0	0	0	0	1	0
10015|T197.2-R1	10015|G197.2	NB,LRR	NB,LRR	NL	NL	canonical	66	63	66.1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	99	0	0	0	0	0	0
10015|T201-R1	10015|G201	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	161	42	161.1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	0	0
10015|T202-R1	10015|G202	RPW8	RPW8	R	R(C)	canonical	116	58	116.1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	0	1	0
10015|T203-R1	10015|G203	RPW8	RPW8	R	R(C)	canonical	58	64	58.1	61	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	62	0	0	0	0	1	0
10015|T204-R1	10015|G204	RPW8	RPW8	R	R(C)	canonical	2	152	2.9	24	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	56	0	0	0	0	0	0
10015|T205-R1	10015|G205	RPW8	RPW8	R	R(C)	canonical	151	48	151.1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	71	0	0	0	1	0	0
10015|T208-R1	10015|G208	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	1	154	1.22	10	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	94	0	0	0	1	0	0
10015|T209-R1	10015|G209	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	1	154	1.21	22	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	93	0	0	0	1	0	0
10015|T214-R1	10015|G214	RPW8,Coil,NB,LRR	RPW8,Coil,NB,LRR	RCNL	R(C,N)L	canonical	31	66	31.1	61	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
10015|T215-R1	10015|G215	RPW8,NB	RPW8,NB	RN	R(C)N	canonical	32	66	32.1	61	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
